Longitude,Latitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
25.57556,-32.08639,05-03-2013,110.195465,390.15366,42.01272
25.57556,-32.08639,05-12-2014,117.58111,438.3372,48.077534
25.57556,-32.08639,06-12-2013,127.17307,505.8287,56.918495
25.57556,-32.08639,08-05-2015,140.02113,593.83545,60.046333
25.57556,-32.08639,08-11-2012,139.56978,591.4008,59.723812
25.57556,-32.08639,09-02-2011,142.72691,612.72327,59.098553
25.57556,-32.08639,09-04-2015,141.96024,610.9191,59.474422
25.57556,-32.08639,10-03-2011,141.87057,611.4157,59.954136
25.57556,-32.08639,15-08-2014,141.00899,600.75055,59.237736
25.57556,-32.08639,19-07-2012,137.9305,584.8695,58.867226
25.57556,-32.08639,19-07-2013,141.8384,611.4999,56.668415
25.57556,-32.08639,26-04-2013,137.28967,582.9232,58.170067
27.3725,-32.173889,04-04-2013,101.84086,337.5674,34.71928
28.015556,-32.515278,01-12-2014,102.44546,340.5267,35.490192
28.015556,-32.515278,05-08-2015,102.68208,342.9843,35.039394
28.015556,-32.515278,06-06-2011,100.931175,331.92255,34.500797
28.015556,-32.515278,08-05-2013,99.42307,321.41315,33.650166
28.015556,-32.515278,10-04-2014,98.22936,312.71405,32.570423
28.015556,-32.515278,13-01-2014,96.64011,303.96756,30.486519
28.015556,-32.515278,14-05-2014,95.51904,295.73932,28.119726
28.015556,-32.515278,19-01-2011,95.32267,292.8381,28.209911
28.015556,-32.515278,22-02-2012,95.42953,292.88324,28.682499
28.015556,-32.515278,22-04-2015,96.486885,299.71417,29.278952
27.366667,-32.579167,04-03-2014,100.98761,332.01154,33.80558
27.366667,-32.579167,05-03-2012,99.25921,320.92004,31.995157
27.366667,-32.579167,07-02-2011,97.63692,310.17834,30.135298
27.366667,-32.579167,07-05-2012,95.88544,299.26108,28.05924
27.366667,-32.579167,07-07-2014,94.14455,289.07263,25.992455
27.366667,-32.579167,09-03-2011,93.804405,286.9182,25.97292
27.366667,-32.579167,27-05-2014,93.858475,287.42117,26.134117
27.366667,-32.579167,29-05-2012,93.74691,287.48544,26.242455
25.885,-32.605278,03-12-2012,105.39214,359.3466,36.50181
25.885,-32.605278,06-11-2012,109.65955,384.19632,39.557095
25.885,-32.605278,06-11-2014,116.02059,420.18958,43.75435
25.885,-32.605278,08-11-2013,128.10786,484.02875,50.773266
25.885,-32.605278,10-09-2013,147.30956,584.5592,59.228218
25.885,-32.605278,10-10-2013,151.38321,596.5738,60.615578
25.885,-32.605278,15-07-2013,150.75966,590.6391,60.91309
25.885,-32.605278,16-08-2012,153.57556,603.1961,62.093414
25.885,-32.605278,19-06-2013,147.90256,579.1375,60.358208
25.885,-32.605278,28-02-2014,138.32812,534.1325,56.633965
25.885,-32.605278,28-05-2013,128.4107,487.0205,51.675297
25.885,-32.605278,30-01-2014,121.5302,445.5501,47.216568
26.296667,-32.713889,31-01-2013,102.89639,344.1251,34.66639
26.629444,-32.761111,22-04-2014,102.179596,341.39117,32.942745
26.629444,-32.761111,26-05-2014,101.51008,337.5454,31.545443
27.856389,-32.802778,01-06-2015,102.36753,340.74164,34.6146
27.856389,-32.802778,02-10-2014,101.86304,337.967,33.340794
27.856389,-32.802778,04-05-2015,101.35741,333.97058,32.737137
27.856389,-32.802778,04-09-2014,100.57634,328.74066,31.565104
27.856389,-32.802778,05-05-2014,98.07669,313.08807,29.636847
27.856389,-32.802778,24-08-2015,97.6252,309.2938,29.515518
27.856389,-32.802778,30-10-2014,97.61456,309.59097,29.088154
27.64002778,-32.99163889,02-06-2011,100.60953,330.717,33.093117
27.64002778,-32.99163889,02-10-2014,99.955444,327.31744,31.818052
27.64002778,-32.99163889,04-09-2014,99.231384,323.15457,30.773666
27.64002778,-32.99163889,05-04-2012,97.10115,309.34836,29.359959
27.64002778,-32.99163889,05-05-2014,95.10881,296.7034,27.597378
27.64002778,-32.99163889,05-12-2013,97.72254,309.23486,30.978056
27.64002778,-32.99163889,06-05-2011,97.05242,304.3944,30.07257
27.64002778,-32.99163889,07-02-2014,96.292946,299.59067,28.536991
27.64002778,-32.99163889,07-03-2013,96.42434,302.05807,28.57004
27.64002778,-32.99163889,07-05-2015,98.02805,312.88583,30.026714
27.64002778,-32.99163889,08-03-2011,94.75145,291.66815,26.740898
27.64002778,-32.99163889,10-02-2011,94.55451,290.24078,26.670668
27.64002778,-32.99163889,10-07-2014,95.64361,298.39536,27.30896
27.64002778,-32.99163889,13-02-2015,96.57603,306.0316,27.915773
27.64002778,-32.99163889,14-01-2011,94.399185,292.95236,26.56414
27.64002778,-32.99163889,15-11-2012,95.57654,299.52286,27.968735
27.64002778,-32.99163889,16-01-2014,96.17912,303.11713,28.926718
27.64002778,-32.99163889,16-01-2015,95.88383,302.17944,27.999634
27.64002778,-32.99163889,16-12-2015,96.05785,301.55453,27.879353
27.64002778,-32.99163889,18-11-2015,98.139305,312.37,29.809528
27.64002778,-32.99163889,22-07-2014,98.6584,315.38553,29.928223
27.64002778,-32.99163889,24-01-2012,99.67185,322.5335,31.41243
27.64002778,-32.99163889,24-11-2011,99.38839,320.6049,31.029907
27.64002778,-32.99163889,26-07-2012,98.62728,316.57516,30.63831
27.64002778,-32.99163889,27-05-2014,96.96746,306.88898,29.56078
27.64002778,-32.99163889,27-08-2015,97.31816,307.8303,29.400629
27.64002778,-32.99163889,28-09-2015,99.19235,319.22873,31.116482
27.64002778,-32.99163889,30-05-2013,97.69071,310.50247,29.86017
27.64002778,-32.99163889,30-06-2011,96.597916,302.7865,29.16952
27.64002778,-32.99163889,30-07-2015,98.33884,314.99197,30.898846
27.64002778,-32.99163889,30-10-2014,97.79995,312.5195,29.736036
27.64002778,-32.99163889,31-05-2012,96.62483,302.4115,29.316097
25.161389,-33.001667,05-02-2015,108.3933,376.53525,36.815197
25.161389,-33.001667,08-01-2015,102.56383,345.04825,31.72412
25.161389,-33.001667,09-01-2014,98.04799,319.97083,28.477758
25.161389,-33.001667,17-09-2014,103.05397,339.40262,32.136883
25.161389,-33.001667,23-07-2015,111.90078,376.10953,39.39432
25.161389,-33.001667,29-01-2014,102.07894,329.03033,32.58457
25.012778,-33.094444,08-10-2014,106.75962,367.8395,37.375523
25.012778,-33.094444,23-07-2015,115.286705,417.9718,43.518394
25.012778,-33.094444,28-05-2015,128.98526,501.20703,53.391006
27.39075,-33.18536111,02-07-2015,102.83259,342.93716,35.549778
27.39075,-33.18536111,04-09-2014,103.13275,344.0925,35.646595
27.39075,-33.18536111,04-12-2012,102.93463,341.73486,35.616627
27.39075,-33.18536111,10-07-2014,103.12623,341.72577,35.50131
27.39075,-33.18536111,15-11-2012,102.81949,338.60507,35.017963
27.39075,-33.18536111,16-01-2015,102.60207,336.6116,34.614365
27.39075,-33.18536111,18-11-2015,102.87682,337.3069,34.6902
27.39075,-33.18536111,20-09-2012,102.97112,338.1411,34.452175
27.39075,-33.18536111,21-10-2013,103.22719,339.11865,34.60359
27.39075,-33.18536111,22-07-2014,103.659325,341.5384,34.816223
27.39075,-33.18536111,22-09-2011,103.47773,341.64502,34.573174
27.39075,-33.18536111,28-06-2012,101.64661,332.56,33.382793
27.39075,-33.18536111,28-09-2015,102.011566,335.72803,33.670746
27.39075,-33.18536111,29-10-2015,101.45347,332.3018,33.729107
27.39075,-33.18536111,31-05-2012,100.07544,324.89954,32.438385
24.235556,-33.202778,12-09-2011,105.342865,359.0718,37.165817
24.235556,-33.202778,30-05-2011,108.40334,378.41144,40.080402
26.99472,-33.23778,08-11-2012,103.29149,346.84985,37.04169
26.99472,-33.23778,27-03-2013,103.43576,348.99503,37.15358
26.0775,-33.329167,06-05-2011,101.94514,338.60883,34.53487
26.0775,-33.329167,06-10-2015,103.30616,346.48654,36.196934
26.0775,-33.329167,08-03-2015,105.223,358.99835,37.91411
26.0775,-33.329167,16-09-2015,107.58165,375.07098,40.23129
26.0775,-33.329167,22-07-2015,110.466774,396.2835,44.040348
26.0775,-33.329167,24-06-2015,115.54798,434.929,50.962856
26.0775,-33.329167,28-05-2014,113.30878,419.68008,48.19541
26.744722,-33.506389,06-10-2015,103.0799,344.38367,35.82294
26.744722,-33.506389,18-08-2015,103.89053,348.98398,36.703568
26.744722,-33.506389,24-06-2015,104.784485,354.24545,38.039993
24.618333,-33.731111,04-10-2012,103.41708,347.15228,36.14683
24.618333,-33.731111,07-05-2015,104.9109,356.12735,37.811913
24.618333,-33.731111,08-03-2015,106.75493,368.6188,40.656258
24.618333,-33.731111,09-04-2015,108.97569,384.97125,44.213688
24.618333,-33.731111,10-04-2014,110.2645,396.18503,46.575726
24.618333,-33.731111,18-04-2013,109.33735,388.4736,44.411617
24.618333,-33.731111,20-03-2014,107.97108,380.01776,43.040882
24.618333,-33.731111,21-06-2012,105.077286,357.07266,38.618233
24.618333,-33.731111,23-05-2013,103.29933,344.53778,36.040977
24.618333,-33.731111,24-04-2014,103.27841,344.80862,36.350525
24.618333,-33.731111,26-02-2014,103.202126,344.4437,36.435436
24.618333,-33.731111,26-07-2012,103.95717,349.0748,37.266735
24.618333,-33.731111,27-03-2013,104.917015,355.52286,38.354378
24.618333,-33.731111,28-03-2013,105.137276,357.492,38.763443
25.386667,-33.771111,04-12-2014,103.752014,348.8869,35.73522
25.386667,-33.771111,06-12-2012,105.1302,356.31973,36.56687
25.386667,-33.771111,06-12-2013,106.55324,364.26044,37.743847
25.386667,-33.771111,08-11-2013,108.24364,373.28067,38.98635
25.386667,-33.771111,27-05-2015,111.45921,390.35208,41.09946
24.196389,-34.0325,08-11-2011,102.3122,340.87262,34.56604
24.439167,-34.096389,05-02-2014,100.90802,331.41312,33.717106
24.439167,-34.096389,07-01-2014,95.128044,296.4249,28.485626
24.439167,-34.096389,07-02-2012,92.935265,283.4979,25.748392
24.439167,-34.096389,08-11-2011,92.46948,278.57626,24.815228
24.439167,-34.096389,09-03-2011,91.79269,271.6585,23.789326
24.439167,-34.096389,12-10-2011,92.58684,276.11578,24.160542
24.439167,-34.096389,12-11-2015,97.52704,307.28378,29.951141
24.439167,-34.096389,16-09-2015,99.26184,318.00064,31.792168
24.439167,-34.096389,23-04-2014,98.325455,312.1001,30.948868
24.439167,-34.096389,25-03-2014,98.199554,311.35736,30.803925
24.439167,-34.096389,26-02-2013,97.36434,305.55222,29.556458
24.439167,-34.096389,26-03-2013,96.44705,299.9023,28.472294
